Port;TCP;UDP;Description
218;Yes;Yes;Message posting protocol (MPP)
220;Yes;Yes;Internet Message Access Protocol (IMAP), version 3
225;Reserved;Reserved;
226;Reserved;Reserved;
227;Reserved;Reserved;
228;Reserved;Reserved;
229;Reserved;Reserved;
230;Reserved;Reserved;
231;Reserved;Reserved;
232;Reserved;Reserved;
233;Reserved;Reserved;
234;Reserved;Reserved;
235;Reserved;Reserved;
236;Reserved;Reserved;
237;Reserved;Reserved;
238;Reserved;Reserved;
239;Reserved;Reserved;
240;Reserved;Reserved;
241;Reserved;Reserved;
249;Reserved;Reserved;
250;Reserved;Reserved;
251;Reserved;Reserved;
252;Reserved;Reserved;
253;Reserved;Reserved;
254;Reserved;Reserved;
255;Reserved;Reserved;
259;Yes;Yes;Efficient Short Remote Operations (ESRO)
262;Yes;Yes;Arcisdms
264;Yes;Yes;Border Gateway Multicast Protocol (BGMP)
280;Yes;Yes;http-mgmt
300;Unofficial;Unofficial;ThinLinc Web Access, Spartan protocol 
308;Yes;Yes;Novastor Online Backup
311;Yes;Assigned;macOS Server Admin (officially AppleShare IP Web administration)
312;Unofficial;No;macOS Xsan administration
318;Yes;Yes;PKIX Time Stamp Protocol (TSP)
319;Yes;Yes;Precision Time Protocol (PTP) event messages
320;Yes;Yes;Precision Time Protocol (PTP) general messages
350;Yes;Yes;Mapping of Airline Traffic over Internet Protocol (MATIP) type A
351;Yes;Yes;MATIP type B
356;Yes;Yes;cloanto-net-1 (used by Cloanto Amiga Explorer and VMs)
366;Yes;Yes;On-Demand Mail Relay (ODMR)
369;Yes;Yes;Rpc2portmap
370;Yes;Yes;codaauth2, Coda authentication server / securecast1, outgoing packets to NAI's SecureCast serversAs of 2000
371;Yes;Yes;ClearCase albd
376;Yes;Yes;Amiga Envoy Network Inquiry Protocol
383;Yes;Yes;HP data alarm manager
384;Yes;Yes;A Remote Network Server System
387;Yes;Yes;AURP (AppleTalk Update-based Routing Protocol)
388;Yes;Assigned;Unidata LDM near real-time data distribution protocol
389;Yes;Assigned;Lightweight Directory Access Protocol (LDAP)
399;Yes;Yes;Digital Equipment Corporation DECnet+ (Phase V) over TCP/IP (RFC1859)
401;Yes;Yes;Uninterruptible power supply (UPS)
427;Yes;Yes;Service Location Protocol (SLP)
433;Yes;Yes;NNTP, part of Network News Transfer Protocol
434;Yes;Yes;Mobile IP Agent (RFC 5944)
443;Yes;Yes;Hypertext Transfer Protocol Secure (HTTPS) uses TCP in versions 1.x and 2. HTTP/3 uses QUIC, a transport protocol on top of UDP.
444;Yes;Yes;Simple Network Paging Protocol (SNPP), RFC 1568
445;Yes;Yes;Microsoft-DS (Directory Services) Active Directory, Windows shares / Microsoft-DS (Directory Services) SMB file sharing
464;Yes;Yes;Kerberos Change/Set password
465;Yes;No;SMTP over implicit SSL (obsolete) / URL Rendezvous Directory for Cisco SSM (primary usage assignment) / Authenticated SMTP over TLS/SSL (SMTPS) (alternative usage assignment)
475;Yes;Yes;tcpnethaspsrv, Aladdin Knowledge Systems Hasp services
476;Unofficial;Unofficial;Centro Software ERP ports
477;Unofficial;Unofficial;Centro Software ERP ports
478;Unofficial;Unofficial;Centro Software ERP ports
479;Unofficial;Unofficial;Centro Software ERP ports
480;Unofficial;Unofficial;Centro Software ERP ports
481;Unofficial;Unofficial;Centro Software ERP ports
482;Unofficial;Unofficial;Centro Software ERP ports
483;Unofficial;Unofficial;Centro Software ERP ports
484;Unofficial;Unofficial;Centro Software ERP ports
485;Unofficial;Unofficial;Centro Software ERP ports
486;Unofficial;Unofficial;Centro Software ERP ports
487;Unofficial;Unofficial;Centro Software ERP ports
488;Unofficial;Unofficial;Centro Software ERP ports
489;Unofficial;Unofficial;Centro Software ERP ports
490;Unofficial;Unofficial;Centro Software ERP ports
491;Unofficial;Unofficial;GO-Global remote access and application publishing software
497;Yes;Yes;Retrospect
500;Assigned;Yes;Internet Security Association and Key Management Protocol (ISAKMP) / Internet Key Exchange (IKE)
502;Yes;Yes;Modbus Protocol
504;Yes;Yes;Citadel, multiservice protocol for dedicated clients for the Citadel groupware system
510;Yes;Yes;FirstClass Protocol (FCP), used by FirstClass client/server groupware system
512;Yes;Yes;Rexec, Remote Process Execution / comsat, together with biff
513;Yes;Yes;rlogin / Who
514;Unofficial;Unofficial;Remote Shell, used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh) / Syslog, used for system logging
515;Yes;Assigned;Line Printer Daemon (LPD), print service
517;Yes;Yes;Talk
518;Yes;Yes;NTalk
520;Yes;Yes;efs, extended file name server / Routing Information Protocol (RIP)
521;Yes;Yes;Routing Information Protocol Next Generation (RIPng)
524;Yes;Yes;NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc.
525;Yes;Yes;Timed, Timeserver
530;Yes;Yes;Remote procedure call (RPC)
532;Yes;Assigned;netnews
533;Yes;Yes;netwall, for emergency broadcasts
540;Yes;Yes;Unix-to-Unix Copy Protocol (UUCP)
542;Yes;Yes;commerce (Commerce Applications)
543;Yes;Yes;klogin, Kerberos login
544;Yes;Yes;kshell, Kerberos Remote shell
546;Yes;Yes;DHCPv6 client
547;Yes;Yes;DHCPv6 server
548;Yes;Assigned;Apple Filing Protocol (AFP) over TCP
550;Yes;Yes;new-rwho, new-who
554;Yes;Yes;Real Time Streaming Protocol (RTSP)
556;Yes;Yes;Remotefs, RFS, rfs_server
560;Yes;Yes;rmonitor, Remote Monitor
561;Yes;Yes;monitor
563;Yes;Yes;NNTP over TLS/SSL (NNTPS)
564;Unofficial;Unofficial;9P (Plan 9)
585;No;No;Previously assigned for use of Internet Message Access Protocol over TLS/SSL (IMAPS), now deregistered in favour of port 993.
587;Yes;Assigned;email message submission (SMTP)
591;Yes;Yes;FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80)
593;Yes;Yes;HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server
601;Yes;Yes;Reliable Syslog Service used for system logging
604;Yes;Yes;TUNNEL profile, a protocol for BEEP peers to form an application layer tunnel
623;Yes;Yes;ASF Remote Management and Control Protocol (ASF-RMCP) & IPMI Remote Management Protocol
625;Unofficial;No;Open Directory Proxy (ODProxy)
631;Yes;Yes;Internet Printing Protocol (IPP) / Common Unix Printing System (CUPS) administration console (extension to IPP)
635;Yes;Yes;RLZ DBase
636;Yes;Assigned;Lightweight Directory Access Protocol over TLS/SSL (LDAPS)
639;Yes;Yes;Multicast Source Discovery Protocol, MSDP
641;Yes;Yes;SupportSoft Nexus Remote Command (control/listening), a proxy gateway connecting remote control traffic
643;Yes;Yes;SANity
646;Yes;Yes;Label Distribution Protocol (LDP), a routing protocol used in MPLS networks
647;Yes;Yes;DHCP Failover protocol
648;Yes;Yes;Registry Registrar Protocol (RRP)
651;Yes;Yes;IEEE-MMS
653;Yes;Yes;SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic
654;Yes;Yes;Media Management System (MMS) Media Management Protocol (MMP)
655;Yes;Yes;Tinc VPN daemon
657;Yes;Yes;IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM) and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration
660;Yes;Assigned;macOS Server administration, version 10.4 and earlier
666;Yes;Yes;Doom, the first online first-person shooter / airserv-ng, aircrack-ng's server for remote-controlling wireless devices
674;Yes;Yes;Application Configuration Access Protocol (ACAP)
684;Yes;Yes;CORBA IIOP SSL
688;Yes;Yes;REALM-RUSD (ApplianceWare Server Appliance Management Protocol)
690;Yes;Yes;Velneo Application Transfer Protocol (VATP)
691;Yes;Yes;MS Exchange Routing
694;Yes;Yes;Linux-HA high-availability heartbeat
695;Yes;Yes;IEEE Media Management System over SSL (IEEE-MMS-SSL)
698;Yes;Yes;Optimized Link State Routing (OLSR)
700;Yes;Yes;Extensible Provisioning Protocol (EPP), a protocol for communication between domain name registries and registrars (RFC 5734)
701;Yes;Yes;Link Management Protocol (LMP), a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links
702;Yes;Yes;IRIS (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol) (RFC 3983)
706;Yes;Yes;Secure Internet Live Conferencing (SILC)
711;Yes;Yes;Cisco Tag Distribution Protocol being replaced by the MPLS Label Distribution Protocol
712;Yes;Yes;Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF
749;Yes;Yes;Kerberos administration
750;Yes;Yes;kerberos-iv, Kerberos version IV
751;Unofficial;Unofficial;kerberos_master, Kerberos authentication
752;Unofficial;Unofficial;passwd_server, Kerberos password (kpasswd) server
753;Yes;Yes;Reverse Routing Header (RRH) / userreg_server, Kerberos userreg server
754;Yes;Yes;tell send / krb5_prop, Kerberos v5 slave propagation
760;Unofficial;Unofficial;krbupdate [kreg], Kerberos registration
782;Unofficial;Unofficial;Conserver serial-console management server
783;Unofficial;Unofficial;SpamAssassin spamd daemon
800;Yes;Yes;mdbs-daemon
802;Yes;Yes;MODBUS/TCP Security
808;Unofficial;Unofficial;Microsoft Net.TCP Port Sharing Service
829;Yes;Assigned;Certificate Management Protocol
830;Yes;Yes;NETCONF over SSH
831;Yes;Yes;NETCONF over BEEP
832;Yes;Yes;NETCONF for SOAP over HTTPS
833;Yes;Yes;NETCONF for SOAP over BEEP
843;Unofficial;Unofficial;Adobe Flash
847;Yes;Yes;DHCP Failover protocol
848;Yes;Yes;Group Domain Of Interpretation (GDOI) protocol
853;Yes;Yes;DNS over TLS (RFC 7858) / DNS over QUIC or DNS over DTLS
860;Yes;Yes;iSCSI (RFC 3720)
861;Yes;Yes;OWAMP control (RFC 4656)
862;Yes;Yes;TWAMP control (RFC 5357)
873;Yes;Yes;rsync file synchronization protocol
888;Unofficial;Unofficial;cddbp, CD DataBase (CDDB) protocol (CDDBP) / IBM Endpoint Manager Remote Control
897;Unofficial;Unofficial;Brocade SMI-S RPC
898;Unofficial;Unofficial;Brocade SMI-S RPC SSL
902;Unofficial;Unofficial;VMware ESXi
903;Unofficial;Unofficial;VMware ESXi
953;Yes;Reserved;BIND remote name daemon control (RNDC)
981;Unofficial;Unofficial;Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software
987;Unofficial;Unofficial;Sony PlayStation Wake On Lan / Microsoft Remote Web Workplace, a feature of Windows Small Business Server
988;Unofficial;Unofficial;Lustre (file system) Protocol (data).
989;Yes;Yes;FTPS Protocol (data), FTP over TLS/SSL
990;Yes;Yes;FTPS Protocol (control), FTP over TLS/SSL
991;Yes;Yes;Netnews Administration System (NAS)
992;Yes;Yes;Telnet protocol over TLS/SSL
993;Yes;Assigned;Internet Message Access Protocol over TLS/SSL (IMAPS)
994;Reserved;Reserved;Previously assigned to Internet Relay Chat over TLS/SSL (IRCS), but was not used in common practice.
995;Yes;Yes;Post Office Protocol 3 over TLS/SSL (POP3S)
1010;Unofficial;Unofficial;ThinLinc web-based administration interface
1011;Reserved;Reserved;
1012;Reserved;Reserved;
1013;Reserved;Reserved;
1014;Reserved;Reserved;
1015;Reserved;Reserved;
1016;Reserved;Reserved;
1017;Reserved;Reserved;
1018;Reserved;Reserved;
1019;Reserved;Reserved;
1020;Reserved;Reserved;
1023;Reserved;Reserved;z/OS Network File System (NFS) (potentially ports 991 1023)
1024;Reserved;Reserved;Reserved
1025;Yes;Yes;Teradata database management system (Teradata) server
1027;Reserved;Reserved;Reserved / Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44)
1028;Reserved;Reserved;
1029;Unofficial;Unofficial;Microsoft DCOM services
1058;Yes;Yes;nim, IBM AIX Network Installation Manager (NIM)
1059;Yes;Yes;nimreg, IBM AIX Network Installation Manager (NIM)
1080;Yes;Yes;SOCKS proxy
1085;Yes;Yes;WebObjects
1098;Yes;Yes;rmiactivation, Java remote method invocation (RMI) activation
1099;Yes;Assigned;rmiregistry, Java remote method invocation (RMI) registry
1109;Reserved;Reserved;Reserved
1112;Unofficial;Unofficial;ESET virus updates
1113;Assigned;Yes;Licklider Transmission Protocol (LTP) delay tolerant networking protocol
1119;Yes;Yes;Battle.net chat/game protocol, used by Blizzard's games
1167;Yes;Yes;Cisco IP SLA (Service Assurance Agent)
1194;Yes;Yes;OpenVPN
1198;Yes;Yes;The cajo project Free dynamic transparent distributed computing in Java
1212;Unofficial;Unofficial;Equalsocial Fediverse protocol
1214;Yes;Yes;Kazaa
1220;Yes;Assigned;QuickTime Streaming Server administration
1234;Yes;Yes;Infoseek search agent / VLC media player default port for UDP/RTP stream
1241;Unofficial;Unofficial;Nessus Security Scanner
1270;Yes;Yes;Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent
1293;Yes;Yes;Internet Protocol Security (IPSec)
1311;Yes;Yes;Windows RxMon.exe / Dell OpenManage HTTPS
1314;Unofficial;Unofficial;Festival Speech Synthesis System server
1319;Yes;Yes;AMX ICSP (Protocol for communications with AMX control systems devices)
1337;Yes;Yes;Men&Mice DNS / Strapi / Sails.js default port
1341;Yes;Yes;Qubes (Manufacturing Execution System)
1344;Yes;Yes;Internet Content Adaptation Protocol
1352;Yes;Yes;IBM Lotus Notes/Domino (RPC) protocol
1360;Yes;Yes;Mimer SQL
1414;Yes;Yes;IBM WebSphere MQ (formerly known as MQSeries)
1417;Yes;Yes;Timbuktu Service 1 Port
1418;Yes;Yes;Timbuktu Service 2 Port
1419;Yes;Yes;Timbuktu Service 3 Port
1420;Yes;Yes;Timbuktu Service 4 Port
1431;Yes;Yes;Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system
1433;Yes;Yes;Microsoft SQL Server database management system (MSSQL) server
1434;Yes;Yes;Microsoft SQL Server database management system (MSSQL) monitor
1476;Yes;Yes;WiFi Pineapple Hak5.
1481;Yes;Yes;AIRS data interchange.
1492;Unofficial;Unofficial;Sid Meier's CivNet, a multiplayer remake of the original Sid Meier's Civilization game
1494;Unofficial;Unofficial;Citrix Independent Computing Architecture (ICA)
1500;Unofficial;Unofficial;IBM Tivoli Storage Manager server
1501;Unofficial;Unofficial;IBM Tivoli Storage Manager client scheduler
1503;Unofficial;Unofficial;Windows Live Messenger (Whiteboard and Application Sharing)
1512;Yes;Yes;Microsoft's Windows Internet Name Service (WINS)
1513;Unofficial;Unofficial;Garena game client
1521;Yes;Yes;nCUBE License Manager / Oracle database default listener, in future releases official port 2483 (TCP/IP) and 2484 (TCP/IP with SSL)
1524;Yes;Yes;ingreslock, ingres
1527;Yes;Yes;Oracle Net Services, formerly known as SQL*Net / Apache Derby Network Server
1533;Yes;Yes;IBM Sametime Virtual Places Chat
1534;No;Unofficial;Eclipse Target Communication Framework
1540;Unofficial;Unofficial;1C:Enterprise server agent (ragent)
1541;Unofficial;Unofficial;1C:Enterprise master cluster manager (rmngr)
1542;Unofficial;Unofficial;1C:Enterprise configuration repository server
1545;Unofficial;Unofficial;1C:Enterprise cluster administration server (RAS)
1547;Yes;Yes;Laplink
1550;Unofficial;Unofficial;1C:Enterprise debug server / Gadu-Gadu (direct client-to-client)
1560;Unofficial;Unofficial;1C:Enterprise cluster working processes
1561;Unofficial;Unofficial;1C:Enterprise cluster working processes
1562;Unofficial;Unofficial;1C:Enterprise cluster working processes
1563;Unofficial;Unofficial;1C:Enterprise cluster working processes
1564;Unofficial;Unofficial;1C:Enterprise cluster working processes
1565;Unofficial;Unofficial;1C:Enterprise cluster working processes
1566;Unofficial;Unofficial;1C:Enterprise cluster working processes
1567;Unofficial;Unofficial;1C:Enterprise cluster working processes
1568;Unofficial;Unofficial;1C:Enterprise cluster working processes
1569;Unofficial;Unofficial;1C:Enterprise cluster working processes
1570;Unofficial;Unofficial;1C:Enterprise cluster working processes
1571;Unofficial;Unofficial;1C:Enterprise cluster working processes
1572;Unofficial;Unofficial;1C:Enterprise cluster working processes
1573;Unofficial;Unofficial;1C:Enterprise cluster working processes
1574;Unofficial;Unofficial;1C:Enterprise cluster working processes
1575;Unofficial;Unofficial;1C:Enterprise cluster working processes
1576;Unofficial;Unofficial;1C:Enterprise cluster working processes
1577;Unofficial;Unofficial;1C:Enterprise cluster working processes
1578;Unofficial;Unofficial;1C:Enterprise cluster working processes
1579;Unofficial;Unofficial;1C:Enterprise cluster working processes
1580;Unofficial;Unofficial;1C:Enterprise cluster working processes
1581;Unofficial;Unofficial;1C:Enterprise cluster working processes
1582;Unofficial;Unofficial;1C:Enterprise cluster working processes
1583;Unofficial;Unofficial;1C:Enterprise cluster working processes
1584;Unofficial;Unofficial;1C:Enterprise cluster working processes
1585;Unofficial;Unofficial;1C:Enterprise cluster working processes
1586;Unofficial;Unofficial;1C:Enterprise cluster working processes
1587;Unofficial;Unofficial;1C:Enterprise cluster working processes
1588;Unofficial;Unofficial;1C:Enterprise cluster working processes
1589;Unofficial;Unofficial;1C:Enterprise cluster working processes
1590;Unofficial;Unofficial;1C:Enterprise cluster working processes
1581;Yes;Yes;MIL STD 2045-47001 VMF / IBM Tivoli Storage Manager web client
1582;Unofficial;Unofficial;IBM Tivoli Storage Manager server web interface
1583;Unofficial;Unofficial;IBM Tivoli Storage Manager server web interface
1583;Unofficial;Unofficial;Pervasive PSQL
1589;Yes;Yes;Cisco VLAN Query Protocol (VQP)
1604;Unofficial;Unofficial;DarkComet remote administration tool (RAT)
1626;Unofficial;Unofficial;iSketch
1627;Unofficial;Unofficial;iSketch
1628;Yes;Yes;LonTalk normal
1629;Yes;Yes;LonTalk urgent
1645;No;Unofficial;Early deployment of RADIUS before RFC standardization was done using UDP port number 1645. Enabled for compatibility reasons by default on Cisco and Juniper Networks RADIUS servers. Official port is 1812. TCP port 1645 MUST NOT be used.
1646;No;Unofficial;Old radacct port, RADIUS accounting protocol. Enabled for compatibility reasons by default on Cisco and Juniper Networks RADIUS servers. Official port is 1813. TCP port 1646 MUST NOT be used.
1666;Unofficial;Unofficial;Perforce
1677;Yes;Yes;Novell GroupWise clients in client/server access mode
1688;Unofficial;Unofficial;Microsoft Key Management Service (KMS) for Windows Activation
1701;Yes;Yes;Layer 2 Forwarding Protocol (L2F) / Layer 2 Tunneling Protocol (L2TP)
1707;Yes;Yes;Windward Studios games (vdmplay) / L2TP/IPsec, for establish an initial connection
1714;Unofficial;Unofficial;KDE Connect
1715;Unofficial;Unofficial;KDE Connect
1716;Unofficial;Unofficial;KDE Connect
1717;Unofficial;Unofficial;KDE Connect
1718;Unofficial;Unofficial;KDE Connect
1719;Unofficial;Unofficial;KDE Connect
1720;Unofficial;Unofficial;KDE Connect
1721;Unofficial;Unofficial;KDE Connect
1722;Unofficial;Unofficial;KDE Connect
1723;Unofficial;Unofficial;KDE Connect
1724;Unofficial;Unofficial;KDE Connect
1725;Unofficial;Unofficial;KDE Connect
1726;Unofficial;Unofficial;KDE Connect
1727;Unofficial;Unofficial;KDE Connect
1728;Unofficial;Unofficial;KDE Connect
1729;Unofficial;Unofficial;KDE Connect
1730;Unofficial;Unofficial;KDE Connect
1731;Unofficial;Unofficial;KDE Connect
1732;Unofficial;Unofficial;KDE Connect
1733;Unofficial;Unofficial;KDE Connect
1734;Unofficial;Unofficial;KDE Connect
1735;Unofficial;Unofficial;KDE Connect
1736;Unofficial;Unofficial;KDE Connect
1737;Unofficial;Unofficial;KDE Connect
1738;Unofficial;Unofficial;KDE Connect
1739;Unofficial;Unofficial;KDE Connect
1740;Unofficial;Unofficial;KDE Connect
1741;Unofficial;Unofficial;KDE Connect
1742;Unofficial;Unofficial;KDE Connect
1743;Unofficial;Unofficial;KDE Connect
1744;Unofficial;Unofficial;KDE Connect
1745;Unofficial;Unofficial;KDE Connect
1746;Unofficial;Unofficial;KDE Connect
1747;Unofficial;Unofficial;KDE Connect
